community_district,council_district,Year of Completion,ZoningDst1,FloorsProp,ClassANet_sum,AllCountedUnits_sum
102.0,2.0,1970,C1-7,2.0,-1.0,0.0
102.0,2.0,1970,C1-7,5.0,1.0,0.0
102.0,2.0,1970,C1-7,6.0,6.0,0.0
102.0,2.0,1970,C1-7,9.0,7.0,0.0
102.0,2.0,1970,C1-7,12.0,0.0,0.0
102.0,2.0,1970,C1-7,22.0,51.0,0.0
102.0,2.0,1970,C1-7,23.0,160.0,0.0
102.0,2.0,1970,C1-7,30.0,-3.0,0.0
102.0,2.0,1970,C4-5,3.0,2.0,0.0
102.0,2.0,1970,C4-5,4.0,1.0,0.0
102.0,2.0,1970,C4-5,5.0,11.0,0.0
102.0,2.0,1970,C4-5,8.0,-21.0,0.0
102.0,2.0,1970,C4-5,9.0,0.0,0.0
102.0,2.0,1970,C6-1,2.0,-1.0,0.0
102.0,2.0,1970,C6-1,3.0,0.0,0.0
102.0,2.0,1970,C6-1,4.0,0.0,0.0
102.0,2.0,1970,C6-1,5.0,0.0,0.0
102.0,2.0,1970,C6-1,6.0,2.0,0.0
102.0,2.0,1970,C6-1,7.0,0.0,0.0
102.0,2.0,1970,C6-1,8.0,4.0,0.0
102.0,2.0,1970,C6-1,10.0,0.0,0.0
102.0,2.0,1970,C6-1,11.0,8.0,0.0
102.0,2.0,1970,C6-1,12.0,8.0,0.0
102.0,2.0,1970,C6-1,15.0,0.0,0.0
102.0,2.0,1970,C6-1,17.0,0.0,0.0
102.0,2.0,1970,C6-1,20.0,0.0,0.0
102.0,2.0,1970,C6-2,5.0,0.0,0.0
102.0,2.0,1970,C6-2,6.0,0.0,0.0
102.0,2.0,1970,C6-2,7.0,19.0,0.0
102.0,2.0,1970,C6-2,10.0,30.0,0.0
102.0,2.0,1970,C6-2,11.0,0.0,0.0
102.0,2.0,1970,C6-2,12.0,59.0,0.0
102.0,2.0,1970,C6-2,14.0,0.0,0.0
102.0,2.0,1970,C6-2,19.0,0.0,0.0
102.0,2.0,1970,C6-2M,7.0,18.0,0.0
102.0,2.0,1970,C6-3,7.0,0.0,0.0
102.0,2.0,1970,C6-4,10.0,4.0,0.0
102.0,2.0,1970,C6-4,23.0,0.0,0.0
102.0,2.0,1970,M1-5,12.0,0.0,0.0
102.0,2.0,1970,M1-5B,4.0,2.0,0.0
102.0,2.0,1970,M1-5B,5.0,10.0,0.0
102.0,2.0,1970,M1-5B,6.0,7.0,0.0
102.0,2.0,1970,M1-5B,7.0,10.0,0.0
102.0,2.0,1970,M1-5B,8.0,7.0,0.0
102.0,2.0,1970,M1-5B,9.0,7.0,0.0
102.0,2.0,1970,M1-5B,10.0,0.0,0.0
102.0,2.0,1970,M1-5B,12.0,16.0,0.0
102.0,2.0,1970,M1-5B,13.0,0.0,0.0
102.0,2.0,1970,M1-5B,15.0,133.0,0.0
102.0,2.0,1970,R10,6.0,0.0,0.0
102.0,2.0,1970,R10,7.0,-2.0,0.0
102.0,2.0,1970,R10,10.0,0.0,0.0
102.0,2.0,1970,R10,14.0,2.0,0.0
102.0,2.0,1970,R10,15.0,256.0,0.0
102.0,2.0,1970,R10,19.0,0.0,0.0
102.0,2.0,1970,R10,20.0,-1.0,0.0
102.0,2.0,1970,R10,27.0,-38.0,0.0
102.0,2.0,1970,R10-,15.0,-2.0,0.0
102.0,2.0,1970,R6,2.0,-3.0,0.0
102.0,2.0,1970,R6,3.0,0.0,0.0
102.0,2.0,1970,R6,4.0,-33.0,0.0
102.0,2.0,1970,R6,5.0,-20.0,0.0
102.0,2.0,1970,R6,15.0,-1.0,0.0
102.0,2.0,1970,R7-2,2.0,0.0,0.0
102.0,2.0,1970,R7-2,3.0,0.0,0.0
102.0,2.0,1970,R7-2,4.0,-2.0,0.0
102.0,2.0,1970,R7-2,5.0,-39.0,0.0
102.0,2.0,1970,R7-2,6.0,-7.0,0.0
102.0,2.0,1970,R7-2,7.0,-1.0,0.0
102.0,2.0,1970,R7-2,8.0,2.0,0.0
102.0,2.0,1970,R7-2,9.0,-2.0,0.0
102.0,2.0,1970,R7-2,12.0,-14.0,0.0
102.0,2.0,1970,R7-2,14.0,0.0,0.0
102.0,2.0,1970,R7-2,16.0,-78.0,0.0
102.0,2.0,1970,R7-2,17.0,-7.0,0.0
102.0,3.0,1970,C1-5,5.0,0.0,0.0
102.0,3.0,1970,C1-6,2.0,2.0,0.0
102.0,3.0,1970,C1-6,3.0,-13.0,0.0
102.0,3.0,1970,C1-6,4.0,-42.0,0.0
102.0,3.0,1970,C1-6,5.0,-18.0,0.0
102.0,3.0,1970,C1-6,6.0,6.0,0.0
102.0,3.0,1970,C1-6,7.0,28.0,0.0
102.0,3.0,1970,C1-6,18.0,0.0,0.0
102.0,3.0,1970,C1-6A,2.0,0.0,0.0
102.0,3.0,1970,C1-6A,4.0,-5.0,0.0
102.0,3.0,1970,C1-6A,5.0,4.0,0.0
102.0,3.0,1970,C1-6A,6.0,0.0,0.0
102.0,3.0,1970,C1-6A,7.0,44.0,0.0
102.0,3.0,1970,C1-7,4.0,-3.0,0.0
102.0,3.0,1970,C1-7,6.0,0.0,0.0
102.0,3.0,1970,C1-7,7.0,0.0,0.0
102.0,3.0,1970,C1-7,10.0,0.0,0.0
102.0,3.0,1970,C1-7,13.0,-90.0,0.0
102.0,3.0,1970,C1-7,16.0,90.0,0.0
102.0,3.0,1970,C2-6,3.0,-1.0,0.0
102.0,3.0,1970,C2-6,4.0,-9.0,0.0
102.0,3.0,1970,C2-6,5.0,2.0,0.0
102.0,3.0,1970,C2-6,6.0,5.0,0.0
102.0,3.0,1970,C2-6,7.0,5.0,0.0
102.0,3.0,1970,C4-4A,4.0,3.0,0.0
102.0,3.0,1970,C4-4A,5.0,-1.0,0.0
102.0,3.0,1970,C4-5,3.0,1.0,0.0
102.0,3.0,1970,C4-5,4.0,1.0,0.0
102.0,3.0,1970,C4-5,5.0,0.0,0.0
102.0,3.0,1970,C4-5,7.0,9.0,0.0
102.0,3.0,1970,C6-1,3.0,1.0,0.0
102.0,3.0,1970,C6-1,4.0,1.0,0.0
102.0,3.0,1970,C6-2,6.0,-7.0,0.0
102.0,3.0,1970,C6-2,10.0,6.0,0.0
102.0,3.0,1970,C6-2,16.0,0.0,0.0
102.0,3.0,1970,C6-2,17.0,198.0,0.0
102.0,3.0,1970,C6-2A,4.0,0.0,0.0
102.0,3.0,1970,C6-2A,5.0,8.0,0.0
102.0,3.0,1970,C6-2A,6.0,-1.0,0.0
102.0,3.0,1970,C6-2A,10.0,0.0,0.0
102.0,3.0,1970,C6-3A,4.0,0.0,0.0
102.0,3.0,1970,M1-5,2.0,-1.0,0.0
102.0,3.0,1970,M1-5,3.0,-3.0,0.0
102.0,3.0,1970,M1-5,4.0,3.0,0.0
102.0,3.0,1970,M1-5,5.0,1.0,0.0
102.0,3.0,1970,M1-5,6.0,1.0,0.0
102.0,3.0,1970,M1-5,7.0,0.0,0.0
102.0,3.0,1970,M1-5,8.0,0.0,0.0
102.0,3.0,1970,M1-5,9.0,10.0,0.0
102.0,3.0,1970,M1-5,10.0,0.0,0.0
102.0,3.0,1970,M1-5,12.0,35.0,0.0
102.0,3.0,1970,M1-5,13.0,57.0,0.0
102.0,3.0,1970,M1-5,15.0,0.0,0.0
102.0,3.0,1970,M1-5/R7X,4.0,2.0,0.0
102.0,3.0,1970,M1-6,4.0,0.0,0.0
102.0,3.0,1970,M1-6,5.0,0.0,0.0
102.0,3.0,1970,M1-6,8.0,0.0,0.0
102.0,3.0,1970,M1-6,15.0,165.0,0.0
102.0,3.0,1970,M1-6,19.0,0.0,0.0
102.0,3.0,1970,M1-6,22.0,189.0,0.0
102.0,3.0,1970,M1-6,25.0,72.0,0.0
102.0,3.0,1970,M1-6,27.0,169.0,0.0
102.0,3.0,1970,R10,4.0,0.0,0.0
102.0,3.0,1970,R6,2.0,-1.0,0.0
102.0,3.0,1970,R6,3.0,-21.0,0.0
102.0,3.0,1970,R6,4.0,-145.0,0.0
102.0,3.0,1970,R6,5.0,-87.0,0.0
102.0,3.0,1970,R6,6.0,-5.0,0.0
102.0,3.0,1970,R6,7.0,1.0,0.0
102.0,3.0,1970,R6,12.0,-55.0,0.0
102.0,3.0,1970,R6,13.0,32.0,0.0
102.0,3.0,1970,R6A,3.0,-1.0,0.0
102.0,3.0,1970,R7-2,3.0,0.0,0.0
102.0,3.0,1970,R7-2,4.0,0.0,0.0
102.0,3.0,1970,R7-2,5.0,-5.0,0.0
102.0,3.0,1970,R7X,3.0,1.0,0.0
102.0,3.0,1970,R7X,10.0,12.0,0.0
103.0,1.0,1970,C1-5,4.0,2.0,0.0
103.0,1.0,1970,C1-5,6.0,20.0,0.0
103.0,1.0,1970,C4-4A,3.0,0.0,0.0
103.0,1.0,1970,C4-4A,4.0,0.0,0.0
103.0,1.0,1970,C4-4A,5.0,12.0,0.0
103.0,1.0,1970,C4-4A,6.0,16.0,0.0
103.0,1.0,1970,C4-4A,7.0,33.0,0.0
103.0,1.0,1970,C4-4A,8.0,93.0,0.0
103.0,1.0,1970,C4-4A,11.0,89.0,0.0
103.0,1.0,1970,C6-1,2.0,0.0,0.0
103.0,1.0,1970,C6-1,4.0,-3.0,0.0
