"GEO_ID","NAME","P1_001N","P1_002N","P1_003N","P1_004N","P1_005N","P1_006N","P1_007N","P1_008N","P1_009N","P1_010N","P1_011N","P1_012N","P1_013N","P1_014N","P1_015N","P1_016N","P1_017N","P1_018N","P1_019N","P1_020N","P1_021N","P1_022N","P1_023N","P1_024N","P1_025N","P1_026N","P1_027N","P1_028N","P1_029N","P1_030N","P1_031N","P1_032N","P1_033N","P1_034N","P1_035N","P1_036N","P1_037N","P1_038N","P1_039N","P1_040N","P1_041N","P1_042N","P1_043N","P1_044N","P1_045N","P1_046N","P1_047N","P1_048N","P1_049N","P1_050N","P1_051N","P1_052N","P1_053N","P1_054N","P1_055N","P1_056N","P1_057N","P1_058N","P1_059N","P1_060N","P1_061N","P1_062N","P1_063N","P1_064N","P1_065N","P1_066N","P1_067N","P1_068N","P1_069N","P1_070N","P1_071N",
"1400000US36109001000","Census Tract 10, Tompkins County, New York","4530","4027","3011","622","14","251","2","127","503","434","129","81","46","0","108","23","4","0","35","0","0","1","0","7","0","58","31","4","0","14","0","1","3","0","3","0","0","1","0","0","1","0","0","0","0","0","6","0","0","4","1","1","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0",
"1400000US36109001100","Census Tract 11, Tompkins County, New York","6162","5692","4845","234","15","422","1","175","470","433","90","37","92","3","185","9","0","0","5","0","0","2","5","5","0","30","6","0","0","6","3","0","7","3","2","0","0","1","0","0","2","0","0","0","0","0","7","2","0","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36109001200","Census Tract 12, Tompkins County, New York","3324","3035","2512","246","9","159","1","108","289","275","58","15","68","3","100","0","3","0","25","0","0","3","0","0","0","12","3","0","0","2","0","0","4","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0",
"1400000US36109001301","Census Tract 13.01, Tompkins County, New York","3445","3094","1904","99","6","1032","6","47","351","341","29","23","106","1","167","3","2","0","3","0","0","3","0","4","0","9","2","0","0","0","1","0","4","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36109001302","Census Tract 13.02, Tompkins County, New York","3972","3662","2550","137","12","886","4","73","310","287","41","17","78","2","142","0","1","0","6","0","0","0","0","0","0","21","1","0","1","5","0","0","5","3","4","1","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36109001400","Census Tract 14, Tompkins County, New York","3595","3239","2862","86","10","213","1","67","356","327","44","64","41","0","161","1","0","2","5","0","0","5","0","4","0","23","3","7","0","9","0","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2","2",
"1400000US36109001500","Census Tract 15, Tompkins County, New York","6321","5803","4597","244","30","864","4","64","518","474","80","58","113","1","197","10","3","0","5","0","0","1","4","2","0","44","12","8","0","10","7","0","4","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36109001600","Census Tract 16, Tompkins County, New York","4263","3909","3759","57","9","40","6","38","354","334","62","80","40","7","128","1","1","0","5","0","0","3","3","4","0","19","2","0","1","6","0","0","6","2","2","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36109001700","Census Tract 17, Tompkins County, New York","4368","3971","3744","129","8","40","1","49","397","373","71","129","15","1","149","3","0","2","3","0","0","0","0","0","0","23","7","5","0","4","0","0","2","0","3","1","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36109001800","Census Tract 18, Tompkins County, New York","4883","4476","4173","155","27","46","1","74","407","385","94","130","29","0","119","1","0","0","8","0","0","1","0","3","0","22","11","0","0","4","2","0","2","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
